02.07.2023; 08:49:19; 	Error: Failed to set GUI-parameters. Backend, function in line: 668
28.06.2023; 15:33:41; 	Error: Failed to set get and/or set time. Backend, function in line: 681
28.06.2023; 15:33:19; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 15:33:19; 	Error: Failed to set GUI-parameters. Backend, function in line: 668
28.06.2023; 14:01:41; 	Error: Failed to set get and/or set time. Backend, function in line: 681
28.06.2023; 14:01:39; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 14:01:27; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 14:00:34; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:55:48; 	Error: Failed to set get and/or set time. Backend, function in line: 681
28.06.2023; 13:55:21; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:55:12; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:53:16; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:53:13; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:53:05; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:53:00; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:52:00; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:51:36; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:49:53; 	Error: Failed to set get and/or set time. Backend, function in line: 681
28.06.2023; 13:49:49; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:49:22; 	Error: Failed to set get and/or set time. Backend, function in line: 681
28.06.2023; 13:48:54; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:48:41; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:48:28; 	Error: Failed to set get and/or set time. Backend, function in line: 681
28.06.2023; 13:48:23; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:47:46; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:47:11; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:46:08; 	Error: Failed to set get and/or set time. Backend, function in line: 681
28.06.2023; 13:45:09; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:45:06; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:44:53; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:42:09; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
28.06.2023; 13:42:04; 	Error: Failed to set exposure time in manual mode. Backend, function in line: 366
